,ReportDate,Region,CaseCategory,INTERNALDESC,Total_Cases,Filed,Pending_At_TakeOver,Abandoned,Granted,Transferred,Withdrawn,Closed,Granted_At_TakeOver,Coalesced_Closed_Events,PROPERTYTYPE,CaseRefs (0-1),CaseRefs (1-2),CaseRefs (2-4),CaseRefs (4-8),CaseRefs (8-16),CaseRefs (16+)
63,2019-11-30 00:00:00,Foreign,Patent,Opened for WIP Only,110,88,14,31,64,9,0,2,4,106,P,,,,,,
64,2019-11-30 00:00:00,Foreign,Patent,Pending,3515,3203,302,0,0,0,0,0,0,0,P,,,,,,
65,2019-11-30 00:00:00,Foreign,Patent,Registered,518,285,38,0,307,1,0,0,208,307,P,,,,,,
66,2019-11-30 00:00:00,Foreign,Patent,Transferred elsewhere,218,162,37,7,38,202,0,1,10,214,P,,,,,,
67,2019-11-30 00:00:00,GB,Patent,Abandoned by client,94,94,0,94,0,0,16,0,0,94,P,,,,,,
68,2019-11-30 00:00:00,GB,Patent,Dead,5044,5004,0,2343,0,8,85,19,2661,2370,P,,,,,,
69,2019-11-30 00:00:00,GB,Patent,File Closed,2344,2230,26,1289,83,31,54,97,845,1499,P,,,,,,
70,2019-11-30 00:00:00,GB,Patent,File Destroyed,104,89,2,57,4,3,5,9,18,73,P,,,,,,
71,2019-11-30 00:00:00,GB,Patent,File Microfilmed/Scanned,1668,1549,71,828,438,124,123,86,144,1487,P,,,,,,
72,2019-11-30 00:00:00,GB,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
73,2019-11-30 00:00:00,GB,Patent,Not yet filed,22,0,0,0,0,0,0,0,0,0,P,,,,,,
74,2019-11-30 00:00:00,GB,Patent,Opened for WIP Only,4,4,0,2,2,0,0,0,0,4,P,,,,,,
75,2019-11-30 00:00:00,GB,Patent,Pending,284,276,8,0,0,0,0,0,0,0,P,,,,,,
76,2019-11-30 00:00:00,GB,Patent,Registered,64,49,7,0,46,0,0,0,18,46,P,,,,,,
77,2019-11-30 00:00:00,GB,Patent,Transferred elsewhere,5,5,0,0,1,5,0,0,0,5,P,,,,,,
78,2019-11-30 00:00:00,PCT,Patent,Abandoned by client,8,4,4,8,0,0,1,0,0,8,P,,,,,,
79,2019-11-30 00:00:00,PCT,Patent,Dead,775,765,0,75,0,0,3,537,0,612,P,,,,,,
80,2019-11-30 00:00:00,PCT,Patent,File Closed,1444,1134,302,34,0,4,4,1398,0,1436,P,,,,,,
81,2019-11-30 00:00:00,PCT,Patent,File Destroyed,111,86,22,7,0,3,0,98,0,108,P,,,,,,
82,2019-11-30 00:00:00,PCT,Patent,File Microfilmed/Scanned,1083,956,123,145,0,36,10,898,0,1081,P,,,,,,
83,2019-11-30 00:00:00,PCT,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
84,2019-11-30 00:00:00,PCT,Patent,Not yet filed,12,0,0,0,0,0,0,0,0,0,P,,,,,,
85,2019-11-30 00:00:00,PCT,Patent,Opened for WIP Only,4,3,1,1,0,1,0,2,0,4,P,,,,,,
86,2019-11-30 00:00:00,PCT,Patent,Pending,236,190,46,0,0,0,0,0,0,0,P,,,,,,
87,2019-11-30 00:00:00,PCT,Patent,Transferred elsewhere,2,2,0,1,0,1,0,0,0,2,P,,,,,,
88,2019-12-31 00:00:00,EP,Patent,Abandoned by client,288,253,35,288,11,0,65,0,0,288,P,,,,,,
89,2019-12-31 00:00:00,EP,Patent,Dead,13150,13003,0,5252,0,39,440,116,7762,5404,P,,,,,,
90,2019-12-31 00:00:00,EP,Patent,File Closed,7263,5062,1040,2536,2493,743,277,288,1249,5963,P,,,,,,
91,2019-12-31 00:00:00,EP,Patent,File Destroyed,3135,2987,19,1411,1138,97,127,26,399,2654,P,,,,,,
